favs,rts
4,2
24,7
8,2
7,3
6,0
34,12
5,5
1,3
6,3
62,53
5,1
4,3
5,2
7,1
4,4
3,1
14,10
5,1
3,0
10,4
5,3
16,10
16,4
6,6
1,2
6,3
2,2
8,7
18,10
18,14
30,12
8,4
8,2
8,5
10,9
20,8
1,4
2,1
6,4
5,6
2,3
13,5
0,1
1,1
3,2
2,2
3,1
4,2
5,2
10,3
9,4
13,10
7,3
4,5
9,5
3,2
5,1
5,3
5,9
1,1
14,8
3,1
2,3
5,3
2,2
11,5
2,0
3,0
9,1
4,1
7,3
8,2
1,0
8,2
2,0
4,2
1,0
2,0
4,3
1,0
1,0
0,0
2,0
4,0
1,0
0,0
0,0
1,0
